username,userimage,content,score,thumbsupcount,reviewcreatedversion,at,replycontent,repliedat,appversion,sentiment_score,sentiment
User_74,,Shocking that it goes up so high in price! Should never be as expensive as it offers. Shocking,1,0,4.556.10005,2024-12-18 13:41:42,,,4.556.10005,-0.69,negative
User_155,,Two words: [cheap] grocery delivery! Glad I checked Uber on a whim one day while I was in a Lyft and found it's really expanded what it is. Definitely not what it was 10 years ago. (An expensive ride request app.) They roll out offers all the time. My grocery pick up from my local store costs about $6 which is awesome when I need my items asap and can't get immediate delivery from store. I plan to try more of what they offer. A big help since losing my car,5,0,4.556.10005,2024-12-18 09:41:11,,,4.556.10005,0.8805,positive
User_247,,world top mahachor company and fraud company for high fare,1,0,4.556.10005,2024-12-18 02:01:27,,,4.556.10005,-0.4588,negative
User_515,,Good and inexpensive,5,0,4.556.10005,2024-12-17 14:39:49,,,4.556.10005,0.4404,positive
User_546,,Very bad app.. Very expensive paying,1,0,,2024-12-17 13:17:30,,,,-0.5849,negative
User_730,,Nice ride with but I need some offer or coupon fare is lit expensive,4,0,4.556.10005,2024-12-16 23:50:45,,,4.556.10005,0.2263,positive
User_740,,"This company thrives on ripping off customers, I cancel rides instantly and still get charged as well as being more expensive than local cab services",1,0,4.554.10001,2024-12-16 23:30:07,,,4.554.10001,-0.1779,negative
User_753,,it's always quick waiting for a ride sometimes it can be more expensive than Lyft not much to say about the app to be honest since the drivers do all the work . I guess the only thing you can rate Uber for is how quickly they match you with a driver the rest is on the drivers service but overall I like it.,5,0,4.556.10005,2024-12-16 22:59:51,,,4.556.10005,0.6597,positive
User_808,,It's decent but lately rides takes too long and rides are getting more expensive even with the promos available..sort that issue out and you can expect a 5 star rating.,3,0,4.555.10003,2024-12-16 21:05:56,,,4.555.10003,0.0,neutral
User_1280,,Too expensive and cars not available. Totally useless,1,0,4.556.10005,2024-12-15 19:51:01,,,4.556.10005,0.3713,positive
User_1458,,"Takes such a long time to find me a driver, which usually ends for me being late. Also very expensive and laggy",1,0,,2024-12-15 12:55:18,,,,0.0,neutral
User_1479,,"Surge Pricing based ride shares, and also ads when you're waiting for a ride you paid for. Not kidding: got a full spread Coke ad AFTER PAYING for a ride no less. The ad remained present until the app cancelled my ride suddenly because prices ""went up"" due to demand. Silicon Valley is a pestilence on society.",1,1,,2024-12-15 12:11:45,,,,-0.4207,negative
User_1583,,Expensive and fast,5,0,4.556.10005,2024-12-15 06:21:06,,,4.556.10005,0.0,neutral
User_1595,,I used to think this app was a solid 4-5 but over the last two years it has got progressively more expensive and progressively worse and now they are choking driver response to encourage people to pay for priority is just disgusting and literally ringing customers dry when all they want to do is get home.,2,0,4.556.10005,2024-12-15 05:41:57,,,4.556.10005,-0.8573,negative
User_1680,,"BS fees, AND the prices are more expensive. Fk Uber and their greedy fees...",1,0,4.554.10001,2024-12-14 23:57:39,,,4.554.10001,-0.3744,negative
User_1741,,It is so expensive,1,0,,2024-12-14 21:12:00,,,,0.0,neutral
User_1763,,"This used to be the smart, cheap alternative to cabs. The prices have now doubled or sometimes tripled since 2021, and they add a new predatory price gouging tactic, like surge pricing and increased fees for cabs to arrive a few minutes quicker, every few months. They've become a prime example of en****tification in the tech industry.",2,7,4.556.10005,2024-12-14 20:33:01,,,4.556.10005,0.743,positive
User_1856,,TOO EXPENSIVE FOR A SATURDAY NOT HAPPY AT ALL,1,0,4.556.10005,2024-12-14 17:08:10,,,4.556.10005,-0.4585,negative
User_1941,,Exhorbitantly expensive. The uber fees charged are just insane. Sad these stuffs are not regulated by a regulatory body.,1,0,4.556.10005,2024-12-14 13:51:39,,,4.556.10005,-0.7832,negative
User_2136,,Its goid and the drivers are nice but my problem is it to expensive to give uver drivers a tip they deserve,4,0,4.556.10005,2024-12-14 04:00:23,,,4.556.10005,-0.3919,negative
User_2311,,"Drivers repeatedly cancel to wait for surge pricing. Company was enough of a scam as it was, now does not even provide the service it advertises. Do not recommend.",1,0,4.556.10005,2024-12-13 19:59:57,,,4.556.10005,-0.7789,negative
User_2467,,"Uber monopoly is bad for us all. Collection pick up times are inaccurate, taking longer to arrive than suggested. Pricing has become too expensive relative to normal taxis, but they have been forced out. The app is poor for customer protections. Eg a recent poor experience was difficult to report. In normal circumstances I wouldn't have paid for the fare, but with Uber you're stuck paying for a substandard journey. Generally, driver quality is terrible (confusing dangerously slow with safe!)",2,2,4.555.10003,2024-12-13 13:01:45,,,4.555.10003,-0.9814,negative
User_2511,,Very good it's just getting more and more expensive it used to be a lot cheaper,4,1,4.556.10005,2024-12-13 10:58:38,,,4.556.10005,0.4927,positive
User_2578,,"Using uber is an absolute terror. Extremely expensive prices for drivers that dont understand what you need, dont meet you at the pickup location and dangerous rides. Uber used to be a very good app but now it is a sad shaddow of what it used to be.",1,7,4.556.10005,2024-12-13 07:45:21,,,4.556.10005,-0.7433,negative
User_2689,,"Expensive. And drivers ask for the travel amount before accepting ride. Drivers also ask for location details incase the amount and distance is not as per their expectations then they decline. Also these drivers never accept and there is endless wait. Worst service had to wait, initially the drivers accept the request and after few minutes cancel the ride. Had to take up normal auto saves time and money.",1,23,4.555.10003,2024-12-13 00:05:05,,,4.555.10003,-0.4738,negative
User_2739,,Too expensive,1,0,,2024-12-12 21:55:36,,,,0.0,neutral
