username,userimage,content,score,thumbsupcount,reviewcreatedversion,at,replycontent,repliedat,appversion,sentiment_score,sentiment
User_6,,Bast price pr car available,5,0,4.556.10005,2024-12-18 17:06:04,,,4.556.10005,0.0,neutral
User_18,,"Quote you one price and charge you another (higher) price, for trips booked in advance",1,0,4.556.10005,2024-12-18 16:32:42,,,4.556.10005,0.0,neutral
User_28,,"Horrible, bunch of thieves. The fare you see when booking versus the fare you pay is completely different. The drivers make unrequested stops, drive slow, and extend the trip themselves, then the fare increases. I hate using Uber. They are very skelm. The drivers stop to top up on their fuel, and you are charged for the additional time he spent doing that. When I report it with evidence, I am told the trip is not eligible for a discount, and the fare is correct. Pissed off!!!!!",1,0,4.556.10005,2024-12-18 16:09:54,,,4.556.10005,-0.9605,negative
User_40,,Good price Easy to use application,5,0,4.556.10005,2024-12-18 15:26:32,,,4.556.10005,0.7003,positive
User_71,,Rates are actually too high 😔 sometimes I feel like being a regular customer means nothing to Uber all they want is to change high price..,3,0,4.556.10005,2024-12-18 13:56:04,,,4.556.10005,0.5209,positive
User_72,,"Quick pickup from the River Rock casino back to my girl's place in a very nice Tesla by a very good driver. I would reccommend Uber to anybody. Affordable, fast, friendly and legit less than half of what a taxi would cost.",5,0,4.556.10005,2024-12-18 13:51:27,,,4.556.10005,0.8586,positive
User_74,,Shocking that it goes up so high in price! Should never be as expensive as it offers. Shocking,1,0,4.556.10005,2024-12-18 13:41:42,,,4.556.10005,-0.69,negative
User_85,,Affordable price and fast pickup in my locality and polite conversation with passenger,5,0,4.556.10005,2024-12-18 13:01:50,,,4.556.10005,0.0,neutral
User_99,,I love that the fairs are so cheap and the drivers are nice,5,0,4.556.10005,2024-12-18 12:34:40,,,4.556.10005,0.7906,positive
User_107,,Low price,5,0,4.556.10005,2024-12-18 12:19:39,,,4.556.10005,-0.2732,negative
User_112,,Most of the uber drivers in Guwahati are charging more than the prescribed rate shown by the app.,5,0,4.556.10005,2024-12-18 12:07:35,,,4.556.10005,0.0,neutral
User_116,,"Good app, quick response rate",4,0,4.556.10005,2024-12-18 11:58:22,,,4.556.10005,0.4404,positive
User_118,,Price jada ht,5,0,4.555.10003,2024-12-18 11:55:48,,,4.555.10003,0.0,neutral
User_137,,Price should be less,2,0,4.556.10005,2024-12-18 11:02:19,,,4.556.10005,0.0,neutral
User_146,,"Wrost apps before booking it's showing a price but after you arrive at the site, the price automatically doubles showing.... Bloody idiot uber .. Rapido and Ola are superior to Uber.",1,0,,2024-12-18 10:32:11,,,,-0.5499,negative
User_155,,Two words: [cheap] grocery delivery! Glad I checked Uber on a whim one day while I was in a Lyft and found it's really expanded what it is. Definitely not what it was 10 years ago. (An expensive ride request app.) They roll out offers all the time. My grocery pick up from my local store costs about $6 which is awesome when I need my items asap and can't get immediate delivery from store. I plan to try more of what they offer. A big help since losing my car,5,0,4.556.10005,2024-12-18 09:41:11,,,4.556.10005,0.8805,positive
User_166,,Very dependable. Kind of pricey but that comes with the inflation I guess. Big help for those that don't have a vehicle.,4,0,4.451.10003,2024-12-18 08:53:02,,,4.451.10003,0.5499,positive
User_177,,Good response and chief rate,5,0,,2024-12-18 07:59:22,,,,0.4404,positive
User_193,,"It's very disappointing that you have suddenly raised the price for the rides, How can middle class people can afford high payments daily. I hope this app mainly made for those people, I hope you would consider this and make changes 🙏",3,0,,2024-12-18 06:36:54,,,,0.3197,positive
User_200,,Awful service...You guys should not give any access or an account to an Uber driver who doesn't wants to accept a ride if it's a low cost ride. If your service only works for for long rides and more money then it doesn't seem to have an exact purpose of your service... Work on it .. I have been noticing this same problem since few weeks. It's awful,1,0,4.554.10001,2024-12-18 06:09:28,,,4.554.10001,-0.8997,negative
User_205,,"The worst app ever..they don't even deserve 1 star rating. Their drivers fooled people and take more than double amount as compared to the actual fare shown in the app and when we try to ask for help from customer service they just say ""Thank you for understanding and providing the feedback of the driver. We can't refund the amount as it was done outside the service "" ... ridiculous",1,0,4.556.10005,2024-12-18 05:37:42,,,4.556.10005,-0.6124,negative
User_208,,Excellent ride came within 2 minutes better than taxi fares,5,0,4.551.10000,2024-12-18 05:28:51,,,4.551.10000,0.765,positive
User_212,,"Today I received a mail that if I am not used this app, my account will be deleted. Now it's your app so you can delete. But I faced some horrible incident , if I choose uber go option then it showed that ' finding driver '; some time your driver reject the drive. So what I can do? The other app also find helpful at that time. And lastly your price is so high than other app..",1,0,4.553.10000,2024-12-18 05:09:42,,,4.553.10000,-0.6808,negative
User_214,,"I don't like the cancelation fee to be honest. The fact I paid extra for priority pick up it said 6 minutes I waited 8,I know it's only 2 minutes but that's false advertising and no it wasn't the drivers fault yall just took extra change from me for nothing 😒. The price hikes are ridiculous some days which causes me to deny the service all together if I can't afford it but other then that it's a really nice app most people (drivers) are nice and personable most importantly reliable 💯",4,0,4.556.10005,2024-12-18 05:07:51,,,4.556.10005,0.7623,positive
User_239,,"App interface, menu, display, trip tracking is poor. Cab service is good and fare is not unacceptable in most cases except few instances.",3,0,4.556.10005,2024-12-18 02:38:45,,,4.556.10005,0.3138,positive
User_247,,world top mahachor company and fraud company for high fare,1,0,4.556.10005,2024-12-18 02:01:27,,,4.556.10005,-0.4588,negative
User_270,,"Tipped €5 cash as app sent us to weiner konzerthaus instead of AM konzerthaus. Gratefully obliged and good smoothe ride, thank you.",5,0,4.548.10001,2024-12-18 00:55:47,,,4.548.10001,0.8176,positive
User_285,,"I have a very bad experience with Uber Eats ,i have an order cake for my boyfriend birthday , and i am just crying like hell. it's just having the best moment to celebrate his birthday for me ,but Uber eats haven't delivered, but it's showing delivered ,and these people haven't show any concern about what people order.they just cancel order and show its delivered.i have tried through mail ,but i am not received any help and uber help also not even responding, i am trying my heartbreaking😢 😕",1,0,4.556.10005,2024-12-18 00:14:38,,,4.556.10005,-0.9193,negative
User_290,,Very good service. Quite easy to find cars. Just one thing price should be more less.,4,0,4.556.10005,2024-12-18 00:05:45,,,4.556.10005,0.7496,positive
User_294,,"WHEN PAYING WITH A CARD, I GET CHARGED TWICE! ONCE WHEN ORDERING A RIDE, AND AGAIN FULL PRICE THE NEXT DAY WHEN THERE'S AN ADJUSTMENT. IF THE RIDE HAS AN ADJUSTMENT, WHY AM I GETTING CHARGED FULL PRICE INSTEAD OF JUST THE EXTRA CHARGES LIKE TOLL OR WAITING FEE? UBER WHEN PAYING WITH A CARD IS TERRIBLE. TOO MANY COMPLICATIONS. MOST DAYS I WAKE UP IN THE MORNING, BEING CHARGED AGAIN FOR A RIDE I ALREAFY PAID FOR YESTERDAY. WITH NO REFUNDS. IT IS ALSO IMPOSSIBLE TO SEND A NORMAL MESSAGE ON THE APP.",1,0,4.551.10000,2024-12-17 23:47:40,,,4.551.10000,-0.8221,negative
User_336,,Ok but price promotions are needed also,5,0,4.556.10005,2024-12-17 21:37:54,,,4.556.10005,0.1531,positive
User_342,,"Price manipulation (checked Uber prices at ~00:45: ~36 EUR; checked taxi prices on the Internet; returned to Uber at ~00:50: price raised to 73.24 EUR). Charges you for rides you don't take because driver cancelled or never showed up. Often stops updating. Unreliable waiting time (often increases instead of decreasing). Rides arrive and leave without you, forcing you to wait 1+ hour for another driver. Doesn't let you review drivers who never show up. Now charges extra to get the closest driver.",1,1,1.41.10000,2024-12-17 21:31:52,,,1.41.10000,-0.802,negative
User_364,,Too costly,5,0,4.556.10005,2024-12-17 20:35:53,,,4.556.10005,-0.1027,negative
User_367,,Fare is too high,1,0,4.556.10005,2024-12-17 20:24:55,,,4.556.10005,0.0,neutral
User_370,,Uber is the best by prices,5,0,4.556.10005,2024-12-17 20:22:56,,,4.556.10005,0.6666,positive
User_393,,It always changed price same location no fix price and not chat with customer option this app change price of cab like crypto currency trading app money go up and down same way this app change price there should be price in per kilometre ride but in this app price go up and down,1,0,,2024-12-17 19:32:54,,,,0.0387,neutral
User_402,,"Safe, reliable and affordable",5,0,4.556.10005,2024-12-17 19:13:03,,,4.556.10005,0.4404,positive
User_405,,Affordable however need to wait for the ride too much,5,0,4.556.10005,2024-12-17 19:10:36,,,4.556.10005,0.0,neutral
User_410,,Best prices,4,0,4.556.10005,2024-12-17 19:06:31,,,4.556.10005,0.6369,positive
User_416,,1 star minus because not accurate price show in system. Value in decimal always round above then whats the point giving offer in decimal?,4,0,4.556.10005,2024-12-17 18:54:12,,,4.556.10005,0.5859,positive
User_423,,Hello Uber is ride price some joke to you while i am booking it's showing one price and once ride completed in driver Uber app it's showing more price again I need to initiate a refund request from your app which is not correct way and how the app should work please fix it or else I will uninstall your app.,1,0,4.555.10003,2024-12-17 18:33:41,,,4.555.10003,0.5423,positive
User_430,,first the experience was very nice and prices were budget friendly but suddenly the price of the cabs specially the auto prices skyrocketed the auto cab which we used to book for ₹110 to ₹125 now for the same distance its charging ₹170 to ₹220. Huge disappointment. Very very rarely going to use uber in near future.,3,0,4.556.10005,2024-12-17 18:14:56,,,4.556.10005,0.1646,positive
User_432,,Worst app. I was having 400 rs coupon but they were still showing the non coupon price. I alived the metro where I was having a seat. But because of there coupon i leaved metro and tried to book metro but then that denied to accept coupon and no response from uber team. The biggest problem was that I was having a trolley and a soldier bag with me and I wasted my 1 hour at out of sukhdev vihar metro station at 11:00 pm night. And we all know that how much delhi is unsafe at night.,1,0,4.556.10005,2024-12-17 18:10:09,,,4.556.10005,-0.928,negative
User_444,,"Booked a ride for 20km for the price of 358 rupees with payment mode Amazon pay, driver picked up and after 500 meters he asked is the payment mode is cash or online, he like to accept only cash, he cancelled trip from his side, UBER charged 145 rupees to me? For driver or uber platform issue - customer need to pay their hard earned money???",1,0,4.556.10005,2024-12-17 17:49:39,,,4.556.10005,-0.2928,negative
User_465,,"Inflated pricing and taxis in HK frequently cancels orders, seemingly without penalty.",1,0,4.556.10005,2024-12-17 16:53:42,,,4.556.10005,0.1481,positive
User_473,,Sometimes the price just sky rockets,4,0,,2024-12-17 16:32:29,,,,0.0,neutral
User_476,,"Amazing cars, amazing pricing.",5,0,4.555.10003,2024-12-17 16:25:34,,,4.555.10003,0.8225,positive
User_477,,Uber always shows me +100 rs price more as compare to other user. I am just tired of these app. I do have screenshot as well incase you guys don't belive. This is pure extortion of money who is long time customer of uber .,1,0,4.556.10005,2024-12-17 16:21:02,,,4.556.10005,-0.2023,negative
User_483,,Easy rides to the desired location with price,5,0,4.556.10005,2024-12-17 16:09:24,,,4.556.10005,0.6124,positive
User_494,,Very good driver correct time low price 🙏🙏,5,0,4.556.10005,2024-12-17 15:38:14,,,4.556.10005,0.2716,positive
User_502,,"Prices are so high, literally not worth paying 80% of price in fees. Id rather risk a DUI. Hope they go under.",1,0,4.556.10005,2024-12-17 15:16:53,,,4.556.10005,0.0346,neutral
User_515,,Good and inexpensive,5,0,4.556.10005,2024-12-17 14:39:49,,,4.556.10005,0.4404,positive
User_540,,"Uber used to be reliable and reasonably priced. unfortunately this has changed, not the apps fault, but the drivers. trying to get anywhere now is a pain, had 4 drivers cancel on me after accepting the ride. one cancelling when they were just at the pick up point. seems the drivers accept and cancel to push up prices as each time I tried to get a new taxi the price had gone up. 3 times the price before I had to use a city taxi costing less!",1,0,,2024-12-17 13:41:00,,,,-0.6385,negative
User_545,,affordable nd safe,5,0,4.556.10005,2024-12-17 13:23:30,,,4.556.10005,0.4404,positive
User_546,,Very bad app.. Very expensive paying,1,0,,2024-12-17 13:17:30,,,,-0.5849,negative
User_561,,good cost vise good middle class people use very low cost,5,0,4.556.10005,2024-12-17 12:14:04,,,4.556.10005,0.5279,positive
User_569,,"Today my friend praveen kumar did his 1st time trip in uber but they shows 50% offer but not reflected in uber auto drivers fare he asked the fare withount discount only because in his auto shows 82 ruppes show in the spare, but in my friend mobile its shows 41, what a big problem this issue also cant able to sort out by uber techinicial team ?",1,1,4.555.10003,2024-12-17 11:48:29,,,4.555.10003,0.431,positive
User_574,,Showing first time 50% offer but driver asked full amount 82 rupees showing in auto fare without discount uber fails to sort out this issue. Today I faced this bad experience.,1,0,4.556.10005,2024-12-17 11:24:20,,,4.556.10005,-0.521,negative
User_613,,"Just found out from the driver that out of $13 fare they only pay the driver $6, no wonder he was mad and driving like a mad man. Uber you need to treat your drivers A LOT better so they can treat us better. Don't tip either uber steals the driver's tips by reducing the tipped amount from their next fare.",1,4,4.556.10005,2024-12-17 08:39:09,,,4.556.10005,0.0953,positive
User_626,,Best app with affordable prices,5,0,4.556.10005,2024-12-17 07:08:16,,,4.556.10005,0.6369,positive
User_635,,I got an uber to the grocery store in the early evening. The store is 2 miles away. Traffic was light and i was by the road waiting for the driver when he pulled up. When i ordered the ride the app quoted the fee at $6 and some change. I use uber often on quick little trips such as this and that was the common price. I paid with an uber gift card and went about my shopping when i arrived i noticed they had charged me $15!! I had no choice but to order uber home. The trip home was $6. What gives,1,1,4.556.10005,2024-12-17 06:44:23,,,4.556.10005,0.1731,positive
User_653,,Rates are different from ios,4,0,,2024-12-17 05:07:14,,,,0.0,neutral
User_661,,Very nice fare and driver super,5,0,4.556.10005,2024-12-17 04:17:37,,,4.556.10005,0.7902,positive
User_678,,"Prices continue to climb and are extremely High for no reason. Very disappointed. No customer service to directly rate/complaint/ or talk to anyone about pricing. Uber as a company, terrible. The Drivers are great. Poor company management.",1,0,4.556.10005,2024-12-17 03:03:47,,,4.556.10005,-0.8568,negative
User_680,,"If I could give negative rating, I would rather give it. If the driver takes ride from wrong path, and then uber inflates the rates, and there are no refunds for the same. I would rather switch to Ola",1,0,4.556.10005,2024-12-17 03:01:43,,,4.556.10005,-0.8402,negative
User_699,,So dependable. Always on time and courteous drivers. Decent prices with extremely clean and comfortable vehicles.,5,0,,2024-12-17 01:56:13,,,,0.8707,positive
