userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_label,sentiment_text
User_11889,,I am not sure what has taken place the past months but I hope to see a class action lawsuit for the misleading times that come up for how far the driver is away. Not accurate and the you select what you are assuming is how ever far away the driver is and then you go to finding driver and infant there are no drivers that times distance away. This had been happening consistently for.the pat few months then it says will connect to a driver by another time after. What was 4 min was 25 to wait lie,1,0,4.553.10000,2024-11-25 03:23:19,,,4.553.10000,0,Negative
User_5090,,"Ubers prices feels ""made up as we go"" I understand there are increases in demand But 3X is insane Also their customer service is dog shxt The way the manage car crashes are outrageous They are very reluctant when it comes to refunding you if you were to cancel a trip (I'm referring to canceling before the driver is even close to you, drivers that take way too much time than necessary)",1,0,,2024-12-07 20:46:53,,,,0,Negative
User_2408,,"after the end of the ride , when I was getting off, I saw that the driver rated me with 1 star , although I was not late nor done any thing wrong which made him rate me 1star, every uber driver does this after the end of ride , such a nonsense act of drivers in Uber ! Would never travel in Uber every again",1,0,4.556.10005,2024-12-13 15:58:40,,,4.556.10005,0,Negative
User_3518,,"Unable to turn off push notifications for ""promotional offers"" ""membership"" ""product updates & news"" ""recommendations"" and ""feedback""",1,0,4.555.10003,2024-12-11 04:31:21,,,4.555.10003,0,Negative
User_9076,,The rates are going much higher nowadays plz control that The bookings are delayed It's becoming inconvenient to get a auto or cab quickly. Plz work on that too.,3,0,4.551.10000,2024-11-30 13:07:08,,,4.551.10000,0,Negative
User_5255,,The cost of a ride has gotten ridiculous and extortionate. And all for greed.,1,0,4.555.10003,2024-12-07 13:40:53,,,4.555.10003,0,Negative
User_10717,,I am a daily customer of uber but now i have notice few problems with uber. Earlier the prices are reasonable as compared to other app so i used to take uber but now as prices are high soo prefer other app for my ride and even the rider dont pick the ride quickly witing time with uber is too long as compared to other app. So now i use other app as well for my ride,3,1,4.553.10000,2024-11-27 10:47:37,,,4.553.10000,0,Negative
User_8621,,"Would give less if able, constantly cancel and up the price",1,0,4.554.10001,2024-12-01 08:51:36,,,4.554.10001,0,Negative
User_3374,,"If you look at how long a ride will take to get to you, you then exit the app, then go back, you will see the price has increased by a lot! I've also noticed some local taxis are very competitive. Also some pick up spots aren't recognised on the uber map, causing unnecessary stress and complaints.",2,10,4.555.10003,2024-12-11 13:14:02,,,4.555.10003,0,Negative
User_4557,,"I see Uber is price gauging yet again, $12-$18 dollars for 5-15 minute ride is a bit excessive. Once again, people rely on this service for school, work and other priority destinations, spiking the prices in this way is an insult to the customers and likely to send them to find another service. In this economy, a ride shouldn't be overpriced. There needs to be some revision in pricing.",1,17,4.555.10003,2024-12-08 22:30:42,,,4.555.10003,0,Negative
User_11103,,"I am new to Uber. I was charged over 40.00 for a ride I didn't know how to cancel. I was very disappointed. Every other ride has gone fine, with good, friendly drivers. I appreciate knowing in advance the cost of the ride. Much better than a cab.",3,0,4.553.10000,2024-11-26 17:32:23,,,4.553.10000,0,Negative
User_3563,,Complete rip off and they take to long to pick you up there prices are outrageous they charge me 23 dollars to the corner and back they give no deals ready to delete my account,1,0,4.555.10003,2024-12-11 00:50:58,,,4.555.10003,0,Negative
User_2767,,Uber started cheating customers with extra fares after completion of ride and we don't have any proper customer service to contact,1,0,4.555.10003,2024-12-12 20:56:46,,,4.555.10003,0,Negative
User_3586,,I booked a ride it's showed 10.19 dollars but after ride is completed it cost me 5 more dollars when I went to complaint at customer service it is showing me there is no increase in fare it is 15.19 dollars from the start so the the app didn't even me option to complaint this the worst experience,1,0,4.555.10003,2024-12-10 23:52:37,,,4.555.10003,0,Negative
User_8068,,Davenport uber never showed. Missed my flight Cost me a lot of time and money,1,0,4.554.10001,2024-12-02 07:36:07,,,4.554.10001,0,Negative
User_2487,,Book karne se pahale kuch aur price dhikha ta haa aur drop karne ke bad kuch aur price pay karne ka option ajata haa,1,0,4.534.10000,2024-12-13 12:08:23,,,4.534.10000,0,Negative
User_3939,,While booking the fare showed 125 but at the time of drop it showed 325 rs with no proper customer support won't trust this app from now onwards,1,0,,2024-12-10 08:00:10,,,,0,Negative
User_8568,,$20 for a 2 mile ride is highway robbery. I'm an Uber one member and that's the total. This is ridiculous. They charge surge prices regardless of the time and state of demand.,1,0,,2024-12-01 11:21:13,,,,0,Negative
User_2044,,"Worst app ever i experienced,so much disturbing , and customer service is toooo bad they never help you. Always the fare prices increase on destination 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 RAPIDO IS MUCH BETTER",1,0,4.555.10003,2024-12-14 09:34:47,,,4.555.10003,0,Negative
User_8095,,My car broken down and had a booked.doctors visit. 11km ride to langwarrin cost 31.00 approx this is a bit expensive for pensioners maybe pensioner discount would help. Driver was very nice and helpful,4,0,4.554.10001,2024-12-02 06:17:43,,,4.554.10001,0,Negative
User_11211,,"Absolutely shocking how this app has just been solely designed to rip people off. Thats the main part, getting a taxi is secondary. Surge pricing because Uber dont have enough driver customers pays more, no economy cars but pay more and well get you a taxi no worries. Its a joke.",2,0,4.553.10000,2024-11-26 13:10:28,,,4.553.10000,0,Negative
User_2362,,"It's fine, drivers often cancel and cause surge charges because they're gaming the system that frankly uber broke taxis to create, hurting everyone else more, and there are too many picky drivers (all often underpaid by uber), BUT it gets you from a to b eventually most times so like it's not a 1, you know",3,0,4.556.10005,2024-12-13 18:10:54,,,4.556.10005,0,Negative
User_74,,Shocking that it goes up so high in price! Should never be as expensive as it offers. Shocking,1,0,4.556.10005,2024-12-18 13:41:42,,,4.556.10005,0,Negative
User_11351,,Price hike before Thanksgiving. Ridiculous.,1,0,4.553.10000,2024-11-26 06:13:06,,,4.553.10000,0,Negative
User_1671,,"Good clean cars, Polite drivers, Decent price. 1 star less coz sometime its way too difficult to get it booked and sometime if its a terminus drops drivers are greedy and demand extra amt. which ofcource we tend to pay coz we are short of time.",4,0,4.554.10001,2024-12-15 00:12:10,,,4.554.10001,0,Negative
